Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Doug McDermott,NYK,26,6,0.2,3.0%,1.00,6,0.2,3,0.1,6,0.2,50.0,50.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Dante Cunningham,NOP,27,1,0.0,0.7%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
David Nwaba,CHI,14,8,0.6,7.8%,0.88,7,0.5,2,0.1,5,0.4,40.0,40.0,37.5%,0.0%,37.5%,0.0%,50.0%,
Tomas Satoransky,WAS,17,19,1.1,21.3%,0.84,16,0.9,7,0.4,15,0.9,46.7,46.7,5.3%,15.8%,5.3%,0.0%,42.1%,58.7
Sindarius Thornwell,LAC,25,11,0.4,9.4%,0.45,5,0.2,2,0.1,5,0.2,40.0,40.0,18.2%,45.5%,9.1%,9.1%,18.2%,7.1
James Ennis,MEM,26,12,0.5,7.1%,0.75,9,0.3,3,0.1,6,0.2,50.0,50.0,16.7%,33.3%,16.7%,0.0%,41.7%,37.8
Julius Randle,LAL,25,3,0.1,1.0%,1.33,4,0.2,2,0.1,3,0.1,66.7,66.7,0.0%,0.0%,0.0%,0.0%,66.7%,
Marquese Chriss,PHX,28,2,0.1,1.0%,1.00,2,0.1,0,0.0,0,0.0,0.0,0.0,50.0%,50.0%,50.0%,0.0%,50.0%,
Zach Randolph,SAC,24,3,0.1,0.8%,0.67,2,0.1,1,0.0,2,0.1,50.0,50.0,0.0%,33.3%,0.0%,0.0%,33.3%,
Joe Harris,BKN,23,11,0.5,5.2%,0.82,9,0.4,3,0.1,8,0.3,37.5,43.8,9.1%,18.2%,9.1%,0.0%,36.4%,53.6
Reggie Bullock,DET,12,1,0.1,2.6%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
DeAndre Liggins,MIL,22,7,0.3,10.4%,0.71,5,0.2,2,0.1,4,0.2,50.0,62.5,0.0%,42.9%,0.0%,0.0%,28.6%,
Rashad Vaughn,MIL,5,1,0.2,5.0%,0.00,0,0.0,0,0.0,1,0.2,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Jarell Martin,MEM,25,2,0.1,1.4%,1.00,2,0.1,1,0.0,2,0.1,50.0,50.0,0.0%,0.0%,0.0%,0.0%,50.0%,
